PC	CODIGO	SOLICITADAS	EM ABERTO	 R$ TOTAL 	DATA	MATERIAL	DESCRICAO	MAQS	SUBGRUPO	EST	3M	1A	⚠
30435	RETRABALHO	114	114	 R$-   	08/05/24		VERIFICAR CÓDIGO	NOK	NOK	39019,1	0	0	 
31539	VULC 6002093	300	232	 R$4.118,00 	22/01/25	NBRE+TECIDO+ LATAO	DIAFRAGMA VALVULA DE RESPIRO VX	01 CAV - 015 016 017	DIAFRAGMAS	23	0	0	 
31708	VULC 41211	200	138	 R$7.370,58 	20/01/25	NBR90+TECIDO	COPO GAXETA CILINDRO 12" X 4"	01 CAV - 013 027	COPOS GAXETA	22	0	18	 
31947	RETRABALHO	196	196	 R$-   	05/03/25		VERIFICAR CÓDIGO	NOK	NOK	39019,1	0	0	 
31995	VULC 501530	100	100	 R$3.370,00 	12/03/25	NBR80+TECIDO	COPO GAXETA CILINDRO 6"	01 CAV - 013 027	COPOS GAXETA	11	6	15	 
32058	VULC 6002040	400	147	 R$1.018,71 	27/03/25	2913/60	GUARDA PO 6002040 VALV ELX	04 CAV - 015 016 017	DUTOS/FOLES/PROTECAO	-65	0	0	⚠
32058	VULC 6002105	400	141	 R$3.156,99 	27/03/25	NBR50E+TECIDO	DIAFRAGMA VALVULA ELX	01 CAV - 013 027	DIAFRAGMAS	87	0	0	 
32385	RETRABALHO	253	253	 R$-   	22/05/25		VERIFICAR CÓDIGO	NOK	NOK	39019,1	0	0	 
32681	VULC 564586	500	500	 R$5.105,00 	15/07/25	NBR50E+TECIDO	DIAFRAGMA PORCAO EMERGENCIA VALVULAS ABD / ABDW / ABDX	02 CAV - 013 027	DIAFRAGMAS	0	13	104	⚠
32990	VULC 546353	100	20	 R$616,00 	10/09/25	*EPDM+TECIDO	DIAFRAGMA PEQUENO DA VALVULA VA-1B 	01 CAV - 013 027 033	DIAFRAGMAS	55	25	25	 
32990	VULC 546354	200	157	 R$5.181,00 	10/09/25	*EPDM+TECIDO	DIAFRAGMA GRANDE DA VALVULA VA-1B 	01 CAV - 013 027 033	DIAFRAGMAS	13	33	33	⚠
33122	VULC 505782	500	220	 R$1.507,00 	06/10/25	3127/85+LATAO	RETENCAO VALVULAS 26C / 26F	REVISAR PROCESSO	VALVULAS DE RETENCAO	228	254	464	 
33122	VULC 579887	700	560	 R$4.317,60 	06/10/25	3127/85+LATAO	RETENCAO VALVULAS 26C / 26D / 26F / 27A	REVISAR PROCESSO	VALVULAS DE RETENCAO	7	111	328	⚠
33122	VULC 94891	1000	1000	 R$6.280,00 	06/10/25	3127/85+LATAO	RETENCAO VALVULAS ABD / ABDX / ABDW / ABSD	13 CAV - 015 016 017	VALVULAS DE RETENCAO	912	126	597	 
33149	VULC 6000151	1700	259	 R$2.561,51 	10/10/25	3127/85 + LATAO	RETENCAO PORCAO EMERGENCIA E SERVICO VALVULAS DB10 / DB20	12 CAV - 015 016 017	VALVULAS DE RETENCAO	998	495	1705	 
33149	VULC 6000155	1500	120	 R$854,40 	10/10/25	3127/85 + LATAO	RETENCAO PORCAO SERVICO VALVULAS DB10	REVISAR PROCESSO	VALVULAS DE RETENCAO	261	644	1789	⚠
33172	VULC 533140	412	324	 R$1.788,48 	15/10/25	3127/85+LATAO	RETENCAO PORCAO SERVICO 26C / 26F	09 CAV - 015 016 017	VALVULAS DE RETENCAO	8	166	574	⚠
33199	VULC 41C611494P1	100	78	 R$10.363,08 	21/10/25	*CR	DUTO DE AR 1 GOMO GRANDE U23	01 CAV - 009	DUTOS/FOLES/PROTECAO	8	0	120	⚠
33245	VULC 6003257	20	20	 R$-   	28/10/25	NBR80	ESFERA DA VALVULA ELETRONICA P16	REVISAR PROCESSO	VALVULAS DE RETENCAO	1	0	2	⚠
33245	VULC 6003281B	20	20	 R$-   	28/10/25	NBR80+LATAO	PISTAO DE RETENCAO DA VALVULA ELETRONICA P16	REVISAR PROCESSO	VALVULAS DE RETENCAO	0	0	0	 
33270	VULC 6003279	47	47	 R$-   	30/10/25	LATAO/BORRACHA	RETENCAO VALVULA FREIO ELETRONICA P16		VALVULAS DE RETENCAO	-1	0	0	⚠
33345	VULC 3279	10000	3992	 R$4.071,84 	11/11/25	NBR70	JUNTA DO BOCAL	25 CAV - 013 027	JUNTAS ANELARES	6945	174	4698	 
33378	VULC 557396	451	451	 R$956,12 	18/11/25	NBR70+LATAO	RETENCAO DO KIT VALVULA 26C	16 CAV - 015 016 017	VALVULAS DE RETENCAO	161	272	944	⚠
33378	VULC 578336	2359	1731	 R$15.405,90 	18/11/25	3127/85 + LATAO	RETENCAO PORCAO SERVICO VALVULAS AB5 / 26C / 26D / 26F	09 CAV - 015 016 017	VALVULAS DE RETENCAO	160	403	1188	⚠
33378	VULC 6003357	400	140	 R$508,20 	18/11/25	NBR70	ARRUELA VEDACAO METAL/BORRACHA 1/4" 	REVISAR PROCESSO	VALVULAS DE RETENCAO	5	21	255	⚠
33392	VULC 570907	360	238	 R$4.967,06 	24/11/25	NBR50E+TECIDO	DIAFRAGMA PORCAO ALIVIO E SERVICO VALVULAS AB / ABD / ABDX / ABSD	01 CAV - 015 016 017	DIAFRAGMAS	-40	147	458	⚠
33392	VULC 665098	657	84	 R$846,72 	24/11/25	*EPDM+TECIDO+LATAO	DIAFRAGMA DO ALIVIO ACELERADO	04 CAV - 015 016 017	DIAFRAGMAS	248	400	1019	⚠
33561	VULC 558534	500	13	 R$260,78 	06/01/26	NBR80+LATAO	JUNTA PORCAO VALVULAS DE RETENCAO DUPLA VALV SELETORA F1	01 CAV - 015 016 017	JUNTAS PLANAS	366	16	673	 
33709	VULC 6000148	3180	129	 R$712,08 	27/01/26	3127/85 + LATAO	RETENCAO PORCAO SERVICO VALVULAS DB10	12 CAV - 015 016 017	VALVULAS DE RETENCAO	2315	780	5811	 
33776	VULC 564217	200	200	 R$3.964,00 	04/02/26	NBR50E+TECIDO	DIAFRAGMA PORÇAO DE SERVICO VALVULAS 26C / 26D / 26F	01 CAV - 015 016 017	DIAFRAGMAS	2	83	288	⚠
33776	VULC 566641	200	193	 R$3.881,23 	04/02/26	NBR50E+TECIDO	DIAFRAGMA DA VALVULA SELETORA	01 CAV - 015 016 017	DIAFRAGMAS	7	83	307	⚠
33776	VULC 6002509	200	47	 R$1.157,14 	04/02/26	*EPDM+TECIDO	DIAFRAGMA VALVULA DE CARGA 26C / 26D / 26F	01 CAV - 008 015	DIAFRAGMAS	163	80	295	 
33800	VULC 6000909	1095	1095	 R$7.665,00 	09/02/26	3127/85+LATAO	RETENCAO VALVULA EL-60	06 CAV - 015 016 017	VALVULAS DE RETENCAO	33	105	467	⚠
33824	VULC 570193	500	185	 R$3.391,05 	12/02/26	*EPDM+TECIDO	DIAFRAGMA PEQUENO DAS VALVULAS 27A E P2A	01 CAV - 016 017	DIAFRAGMAS	146	234	592	 
33932	VULC 532715	590	226	 R$1.179,72 	04/03/26	3127/85 + LATAO	RETENCAO VALVULAS ABD / ABDX / ABSD	04 CAV - 016	VALVULAS DE RETENCAO	158	271	676	⚠
34067	VULC 93839	6000	6000	 R$4.440,00 	24/03/26	4002/75	JUNTA ANELAR 3/8"	49 CAV - 013 027	JUNTAS ANELARES	-294	945	6146	⚠
34173	VULC 551156	2032	121	 R$1.096,26 	08/04/26	3127/85+LATAO	RETENCAO VALVULAS ABD / ABDX / ABDW / ABSD	04 CAV - 016	VALVULAS DE RETENCAO	1592	271	673	 
