Prioridade	Código	Descrição	QTD total    Faltante
			
1	546353	DIAFRAGMA PEQUENO DA VALVULA VA-1B 	120
2	546354	DIAFRAGMA GRANDE DA VALVULA VA-1B 	157
3	6000156	DIAFRAGMA	629
4	6000153	DIAFRAGMA	380
5	6000154	DIAFRAGMA	289
6	6000148	VALVULA DE CHECK 4B73365/3	335
7	563997	JUNTA DO COMPLEMENTO DA PORCAO SERVICO	25
8	6000155	VALVULA DE PRESSAO  	1095
9	6000145	VALVULA DE CHECK 	215
10	6000151	PRATO DA VALVULA 	411
11	6000146	VALVULA DE CHECK 	123
12	533140	VALVULA DE CHECK DO KIT 560724	214
13	564217	DIAFRAGMA PORCAO DE SERVIÇO	109
14	566641	DIAFRAGMA DA VALVULA SELETORA	104
15	579887	VALVULA DE CHECK RES. AUXILIAR	76
16	564586	DIAFRAGMA	79
17	6002105	DIAFRAGMA VALVULA ELX	195
18	6002040	GUARDA PO DA VALVULA ELX	156
19	6002101	COPO GAXETA 8 X 8 VAZADO	95
20	526346	DIAFRAGMA	290
21	529009	VALVULA DE RETENCAO DE CARREG.	756
22	540542	JUNTA ANELAR VALVULA DE CONTROLE 26F	524
23	561863	JUNTA DA TAMPA INF VALV P2A	898
24	562872	JUNTA DO SUPORTE ENCANAMENTO P2A	760
25	570193	DIAFRAGMA PEQUENO DAS VALVULAS 27A E P2A	842
26	6003357	ARRUELA VEDACAO METAL/BORRACHA 1/4" 	574
27	511677/1	ANEL DO GARFO DO CILINDRO DE FREIO DE BORRACHA	108
28	97368	JUNTA DE ENCANAMENTO	436
29	553823	JUNTA DA TAMPA DA VALVULA RELE J1	430
30	564050	VALVULA DE CHECK RELE J1	474
31	6000910	VALVULA DE CHECK RELE J1	347
32	6000866	FILTRO MAIOR - 781215	1483
33	6000909	VALVULA METAL/BORRACHA - 771329	967
34	6000905	DIAFRAGMA VAZIO CARREGADO - 772345	631
35	6000915	DIAFRAGMA VAZIO CARREGADO EL-60	999
